Player,Role,Amount,Team,Year,Player Origin
K.C. Cariappa,Bowler,8000000,PBKS,2016,Indian
K.K. Jiyaz,Bowler,1000000,DC,2015,Indian
K.M. Asif,Bowler,2000000,CSK,2022,Indian
K.S. Bharat,Batter,20000000,DC,2022,Indian
Kagiso Rabada,Bowler,50000000,DC,2017,Overseas
Kagiso Rabada,Bowler,42000000,DC,2018,Overseas
Kagiso Rabada,Bowler,92500000,PBKS,2022,Overseas
Kamlesh Nagarkoti,All-Rounder,32000000,KKR,2018,Indian
Kamlesh Nagarkoti,All-Rounder,11000000,DC,2022,Indian
Kane Richardson,Bowler,52500000,PWI,2013,Overseas
Kane Richardson,Bowler,10000000,RR,2014,Overseas
Kane Richardson,Bowler,20000000,RCB,2016,Overseas
Kane Richardson,Bowler,40000000,RCB,2020,Overseas
Kane Williamson,All-Rounder,6000000,SRH,2015,Overseas
Kane Williamson,Batter,30000000,SRH,2018,Overseas
Kanishk Seth,All-Rounder,2000000,CSK,2018,Indian
Karan Sharma,All-Rounder,2000000,LSG,2022,Indian
Karanveer Singh,All-Rounder,1000000,PBKS,2014,Indian
Karn Sharma,Bowler,37500000,SRH,2014,Indian
Karn Sharma,All-Rounder,32000000,MI,2017,Indian
Karn Sharma,Bowler,50000000,CSK,2018,Indian
Karn Sharma,Bowler,5000000,RCB,2022,Indian
Kartik Tyagi,Bowler,13000000,RR,2020,Indian
Kartik Tyagi,Bowler,40000000,SRH,2022,Indian
Karun Nair,Batter,7500000,RR,2014,Indian
Karun Nair,Batter,40000000,DC,2016,Indian
Karun Nair,Batter,56000000,PBKS,2018,Indian
Karun Nair,Batter,5000000,KKR,2021,Indian
Karun Nair,Batter,14000000,RR,2022,Indian
Kedar Jadhav,Batter,20000000,DC,2014,Indian
Kedar Jadhav,All-Rounder,78000000,CSK,2018,Indian
Kedar Jadhav,All-Rounder,20000000,SRH,2021,Indian
Keemo Paul,All-Rounder,5000000,DC,2019,Overseas
Kevin Pietersen,Batter,90000000,DC,2014,Overseas
Kevin Pietersen,Batter,20000000,SRH,2015,Overseas
Kevin Pietersen,Batter,35000000,RPSG,2016,Overseas
Kevon Cooper,All-Rounder,3000000,RR,2014,Overseas
Kieron Pollard,All-Rounder,54000000,MI,2018,Overseas
Kishore Pramod Kamath,All-Rounder,14000000,MI,2016,Indian
KL Rahul,Batter,10000000,SRH,2014,Indian
KL Rahul,Batter,110000000,PBKS,2018,Indian
Kona Srikar Bharat,Batter,1000000,DC,2015,Indian
Kona Srikar Bharat,Batter,2000000,RCB,2021,Indian
Krishnappa Gowtham,All-Rounder,20000000,MI,2017,Indian
Krishnappa Gowtham,Bowler,62000000,RR,2018,Indian
Krishnappa Gowtham,All-Rounder,92500000,CSK,2021,Indian
Krismar Santokie,Bowler,3000000,MI,2014,Overseas
Krunal Pandya,All-Rounder,20000000,MI,2016,Indian
Krunal Pandya,All-Rounder,88000000,MI,2018,Indian
Krunal Pandya,All-Rounder,82500000,LSG,2022,Indian
Kshitiz Sharma,All-Rounder,2000000,CSK,2018,Indian
Kuldeep Sen,Bowler,2000000,RR,2022,Indian
Kuldeep Yadav,Bowler,4000000,KKR,2014,Indian
Kuldeep Yadav,Bowler,58000000,KKR,2018,Indian
Kuldeep Yadav,Bowler,20000000,DC,2022,Indian
Kuldip Yadav,Bowler,2000000,RR,2021,Indian
Kuldip Yadav,Bowler,2000000,RR,2022,Indian
Kulwant Khejroliya,Bowler,1000000,MI,2017,Indian
Kulwant Khejroliya,Bowler,8500000,RCB,2018,Indian
Kusal Janith Perera,Batter,1500000,RR,2013,Indian
Kyle Abbott,Bowler,3000000,CSK,2015,Overseas
Kyle Abbott,Bowler,21000000,PBKS,2016,Overseas
Kyle Jamieson,All-Rounder,150000000,RCB,2021,Overseas
Kyle Mayers,All-Rounder,5000000,LSG,2022,Overseas
Lakshmipathy Balaji,Bowler,18000000,PBKS,2014,Indian
Lalit Yadav,All-Rounder,2000000,DC,2020,Indian
Lalit Yadav,All-Rounder,6500000,DC,2022,Indian
Lasith Malinga,Bowler,20000000,MI,2019,Overseas
